,value,temperature (degC),dewpoint_temperature (degC),relative_humidity (0-1),wind_speed (m/s),wind_direction (deg),total_cloud_cover (0-1),total_precipitation (mm of water equivalent)
2019-05-23 03:00:00+05:00,105.5,27.84,18.44,0.57,2.24,258.5,0.62,0.06
2019-05-23 04:00:00+05:00,92.0,27.49,18.53,0.58,2.71,223.98,0.81,0.06
2019-05-23 05:00:00+05:00,39.4,27.71,18.93,0.59,1.36,195.21,0.86,0.08
2019-05-23 06:00:00+05:00,26.0,27.64,18.93,0.59,0.47,301.33,0.46,0.05
2019-05-23 07:00:00+05:00,27.3,27.51,19.0,0.6,0.95,35.71,0.26,0.24
2019-05-23 08:00:00+05:00,38.0,27.79,18.09,0.56,1.58,69.65,0.42,0.19
2019-05-23 09:00:00+05:00,40.7,29.34,17.73,0.5,3.25,126.09,0.69,0.01
2019-05-23 10:00:00+05:00,34.8,32.6,16.38,0.38,2.81,138.9,0.52,0.01
2019-05-23 11:00:00+05:00,87.2,33.66,16.94,0.37,0.62,192.88,0.42,0.04
2019-05-23 12:00:00+05:00,66.8,34.21,17.49,0.37,0.76,240.57,0.35,0.02
2019-05-23 13:00:00+05:00,36.0,35.66,16.6,0.32,0.58,282.47,0.55,0.01
2019-05-23 14:00:00+05:00,36.8,36.63,15.8,0.29,2.8,198.03,0.7,0.35
2019-05-23 15:00:00+05:00,37.2,30.39,20.35,0.55,5.03,203.03,0.82,1.79
2019-05-23 16:00:00+05:00,44.0,31.09,20.71,0.54,3.47,187.62,0.63,0.33
2019-05-23 17:00:00+05:00,46.1,32.32,20.06,0.48,2.26,131.42,0.63,0.0
2019-05-23 18:00:00+05:00,53.0,32.84,19.44,0.45,2.39,107.69,0.66,0.0
2019-05-23 19:00:00+05:00,55.8,30.8,20.85,0.55,1.41,93.77,0.49,0.0
2019-05-23 20:00:00+05:00,52.2,30.1,20.25,0.56,1.07,46.27,0.44,0.0
2019-05-23 21:00:00+05:00,61.9,29.21,20.15,0.58,1.34,357.5,0.48,0.0
2019-05-23 22:00:00+05:00,89.1,27.13,20.06,0.65,1.76,344.3,0.48,0.0
2019-05-23 23:00:00+05:00,102.5,27.38,20.1,0.65,2.22,349.98,0.22,0.0
2019-05-24 00:00:00+05:00,316.1,26.68,20.17,0.67,1.95,355.62,0.3,0.0
2019-05-24 01:00:00+05:00,91.7,25.09,20.22,0.74,1.71,357.3,0.37,0.0
2019-05-24 02:00:00+05:00,112.5,25.29,20.27,0.74,1.77,355.69,0.3,0.01
2019-05-24 03:00:00+05:00,126.2,23.97,18.65,0.72,2.9,264.05,0.28,0.01
2019-05-24 04:00:00+05:00,47.7,24.11,18.68,0.72,3.32,259.1,0.41,0.0
2019-05-24 05:00:00+05:00,41.6,23.76,18.75,0.74,2.36,277.74,0.52,0.0
2019-05-24 06:00:00+05:00,33.9,23.38,18.3,0.73,2.19,342.22,0.39,0.0
2019-05-24 07:00:00+05:00,63.6,22.65,18.08,0.75,2.77,20.55,0.29,0.02
2019-05-24 08:00:00+05:00,166.3,24.0,17.84,0.68,2.89,45.33,0.17,0.0
2019-05-24 09:00:00+05:00,60.8,26.25,18.76,0.63,2.87,63.59,0.18,0.0
2019-05-24 10:00:00+05:00,48.2,28.5,18.09,0.53,2.42,74.84,0.21,0.0
2019-05-24 11:00:00+05:00,53.0,28.49,19.58,0.58,1.11,65.77,0.24,0.39
2019-05-24 12:00:00+05:00,49.1,26.5,20.14,0.68,1.04,331.17,0.37,0.03
2019-05-24 13:00:00+05:00,38.1,29.71,19.07,0.53,1.17,333.59,0.28,0.06
2019-05-24 14:00:00+05:00,36.8,31.09,19.25,0.49,0.81,351.64,0.28,0.19
2019-05-24 15:00:00+05:00,30.1,32.9,18.54,0.43,1.02,10.7,0.28,0.03
2019-05-24 16:00:00+05:00,29.1,32.71,18.76,0.44,1.46,36.62,0.27,0.2
2019-05-24 17:00:00+05:00,30.1,30.46,19.43,0.52,1.58,15.03,0.51,0.46
2019-05-24 18:00:00+05:00,32.6,31.13,18.91,0.48,1.71,337.47,0.73,0.0
2019-05-24 19:00:00+05:00,47.7,29.36,20.97,0.61,1.69,285.63,0.64,0.0
2019-05-24 20:00:00+05:00,39.9,27.75,20.43,0.64,2.96,296.22,0.69,0.0
2019-05-24 21:00:00+05:00,68.2,27.1,20.2,0.66,3.11,308.78,0.33,0.0
2019-05-24 22:00:00+05:00,100.3,24.69,19.85,0.74,3.42,326.56,0.15,0.0
2019-05-24 23:00:00+05:00,24.8,24.22,19.26,0.74,3.62,334.64,0.05,0.0
2019-05-25 00:00:00+05:00,20.9,24.2,18.73,0.71,3.27,338.24,0.02,0.0
2019-05-25 01:00:00+05:00,47.8,23.45,18.18,0.72,2.88,342.7,0.0,0.0
2019-05-25 02:00:00+05:00,43.5,23.25,18.04,0.73,2.65,343.44,0.0,0.0
2019-05-25 03:00:00+05:00,30.1,21.94,17.53,0.76,2.27,354.49,0.0,0.0
2019-05-25 04:00:00+05:00,35.2,21.79,17.53,0.77,2.16,352.66,0.0,0.0
2019-05-25 05:00:00+05:00,42.3,21.87,17.21,0.75,1.93,347.07,0.0,0.0
2019-05-25 06:00:00+05:00,89.0,22.04,17.28,0.74,2.16,348.53,0.0,0.0
2019-05-25 07:00:00+05:00,231.8,24.44,16.85,0.63,1.91,347.32,0.0,0.0
2019-05-25 08:00:00+05:00,115.7,25.59,17.32,0.6,1.78,331.67,0.0,0.0
2019-05-25 09:00:00+05:00,136.4,26.49,18.06,0.6,1.99,306.48,0.0,0.0
2019-05-25 10:00:00+05:00,65.4,30.29,16.77,0.44,2.61,295.21,0.01,0.0
2019-05-25 11:00:00+05:00,46.5,31.4,16.77,0.41,3.4,295.1,0.11,0.0
2019-05-25 12:00:00+05:00,34.3,31.79,16.52,0.4,3.94,298.79,0.09,0.0
2019-05-25 13:00:00+05:00,41.9,33.96,15.08,0.32,4.04,299.9,0.06,0.0
2019-05-25 14:00:00+05:00,37.6,34.14,15.3,0.32,4.08,300.97,0.04,0.0
2019-05-25 15:00:00+05:00,28.0,34.73,14.9,0.31,4.44,297.04,0.09,0.0
2019-05-25 16:00:00+05:00,26.9,34.71,14.75,0.3,4.51,296.51,0.07,0.0
2019-05-25 17:00:00+05:00,24.2,34.49,14.37,0.3,4.38,297.1,0.0,0.0
2019-05-25 18:00:00+05:00,29.2,34.16,12.7,0.27,3.7,298.89,0.02,0.0
2019-05-25 19:00:00+05:00,35.5,31.46,14.97,0.37,2.36,293.94,0.02,0.0
2019-05-25 20:00:00+05:00,77.9,29.35,15.44,0.43,2.11,290.03,0.0,0.0
2019-05-25 21:00:00+05:00,64.5,28.9,15.09,0.43,2.02,284.27,0.0,0.0
2019-05-25 22:00:00+05:00,58.5,27.66,15.9,0.49,2.08,282.84,0.0,0.0
2019-05-25 23:00:00+05:00,79.0,26.37,16.61,0.55,2.13,285.5,0.0,0.0
2019-05-26 00:00:00+05:00,60.9,26.24,16.27,0.54,2.15,292.71,0.0,0.0
2019-05-26 01:00:00+05:00,63.1,25.13,16.44,0.59,2.09,301.51,0.0,0.0
2019-05-26 02:00:00+05:00,71.2,24.73,16.26,0.59,2.1,309.08,0.05,0.0
2019-05-26 03:00:00+05:00,110.3,23.6,16.04,0.63,1.74,322.23,0.07,0.0
2019-05-26 04:00:00+05:00,120.9,23.62,16.41,0.64,1.76,327.3,0.03,0.0
2019-05-26 05:00:00+05:00,150.3,23.8,16.67,0.64,1.7,327.37,0.01,0.0
2019-05-26 06:00:00+05:00,106.9,23.88,16.42,0.63,2.11,327.19,0.01,0.0
2019-05-26 07:00:00+05:00,105.5,28.16,17.03,0.51,1.6,325.0,0.02,0.0
2019-05-26 08:00:00+05:00,92.6,29.34,17.74,0.5,1.65,333.1,0.02,0.0
2019-05-26 09:00:00+05:00,85.6,30.52,17.82,0.47,2.08,340.33,0.01,0.0
2019-05-26 10:00:00+05:00,108.5,34.61,15.05,0.31,1.98,344.47,0.0,0.0
2019-05-26 11:00:00+05:00,74.3,35.47,15.1,0.3,1.68,323.13,0.0,0.0
2019-05-26 12:00:00+05:00,59.8,36.24,15.14,0.29,1.84,294.83,0.06,0.0
2019-05-26 13:00:00+05:00,59.8,38.07,14.13,0.24,2.2,285.9,0.15,0.0
2019-05-26 14:00:00+05:00,57.5,38.26,14.16,0.24,2.49,288.39,0.16,0.0
2019-05-26 15:00:00+05:00,50.9,38.52,14.08,0.24,2.53,255.95,0.89,0.0
2019-05-26 16:00:00+05:00,53.5,38.64,13.76,0.23,3.03,246.21,0.75,0.0
2019-05-26 17:00:00+05:00,44.9,38.16,13.14,0.23,3.56,281.63,0.81,0.0
2019-05-26 18:00:00+05:00,45.8,37.99,8.0,0.16,2.59,327.24,0.3,0.0
2019-05-26 19:00:00+05:00,44.0,34.17,13.26,0.28,1.93,338.53,0.64,0.0
2019-05-26 20:00:00+05:00,49.1,33.57,13.28,0.29,2.15,4.66,0.26,0.0
2019-05-26 21:00:00+05:00,57.7,32.98,13.22,0.3,2.14,32.29,0.1,0.0
2019-05-26 22:00:00+05:00,78.9,30.15,15.33,0.41,2.11,48.19,0.03,0.0
2019-05-26 23:00:00+05:00,78.2,29.16,15.82,0.44,2.39,58.45,0.0,0.0
2019-05-27 00:00:00+05:00,117.7,28.46,15.66,0.46,2.3,61.33,0.0,0.0
2019-05-27 01:00:00+05:00,141.3,26.99,16.07,0.51,2.11,54.64,0.0,0.0
2019-05-27 02:00:00+05:00,127.7,27.28,16.23,0.51,2.06,41.0,0.0,0.0
2019-05-27 03:00:00+05:00,154.1,24.8,16.19,0.59,1.93,17.89,0.0,0.0
2019-05-27 04:00:00+05:00,163.5,24.67,16.64,0.61,1.91,5.93,0.0,0.0
2019-05-27 05:00:00+05:00,156.7,24.84,16.34,0.59,1.96,359.95,0.0,0.0
2019-05-27 06:00:00+05:00,183.5,24.91,15.47,0.56,2.51,1.82,0.0,0.0
2019-05-27 07:00:00+05:00,173.2,29.76,14.65,0.4,2.33,4.47,0.0,0.0
2019-05-27 08:00:00+05:00,183.4,30.93,14.65,0.37,2.21,4.22,0.0,0.0
2019-05-27 09:00:00+05:00,84.6,31.96,14.52,0.35,2.33,2.8,0.0,0.0
2019-05-27 10:00:00+05:00,76.9,36.44,12.13,0.23,2.84,2.19,0.0,0.0
2019-05-27 11:00:00+05:00,79.2,38.09,12.0,0.21,2.88,353.23,0.0,0.0
2019-05-27 12:00:00+05:00,59.1,38.37,12.3,0.21,2.77,341.59,0.01,0.0
2019-05-27 13:00:00+05:00,36.9,40.32,9.4,0.16,2.72,327.93,0.02,0.0
2019-05-27 14:00:00+05:00,35.8,40.54,9.73,0.16,3.0,314.08,0.12,0.0
2019-05-27 15:00:00+05:00,33.9,40.32,7.03,0.13,3.43,303.05,0.37,0.0
2019-05-27 16:00:00+05:00,34.9,40.22,7.24,0.14,3.94,297.97,0.67,0.0
2019-05-27 17:00:00+05:00,38.0,39.8,6.97,0.14,4.03,297.88,0.25,0.0
2019-05-27 18:00:00+05:00,40.6,39.73,-2.49,0.07,2.6,301.5,0.21,0.0
2019-05-27 19:00:00+05:00,32.5,34.85,10.35,0.22,2.49,297.55,0.31,0.0
2019-05-27 20:00:00+05:00,46.5,33.85,11.59,0.26,2.4,304.32,0.22,0.0
2019-05-27 21:00:00+05:00,61.8,33.02,12.08,0.28,2.83,312.1,0.06,0.0
2019-05-27 22:00:00+05:00,84.3,30.29,12.51,0.34,2.81,317.96,0.01,0.0
2019-05-27 23:00:00+05:00,120.6,28.75,14.82,0.43,2.49,322.05,0.0,0.0
2019-05-28 00:00:00+05:00,109.2,28.59,14.6,0.42,2.33,318.71,0.0,0.0
2019-05-28 01:00:00+05:00,119.9,27.48,14.62,0.45,2.38,318.21,0.0,0.0
2019-05-28 02:00:00+05:00,205.5,26.93,14.86,0.48,2.26,326.86,0.0,0.0
2019-05-28 03:00:00+05:00,220.8,25.4,15.07,0.53,1.92,349.22,0.0,0.0
2019-05-28 04:00:00+05:00,186.3,25.07,15.17,0.54,1.97,0.29,0.0,0.0
2019-05-28 05:00:00+05:00,196.0,25.03,14.97,0.54,1.93,7.38,0.0,0.0
2019-05-28 06:00:00+05:00,166.0,25.49,14.57,0.51,1.73,14.01,0.0,0.0
2019-05-28 07:00:00+05:00,116.0,30.83,14.65,0.37,1.29,22.53,0.0,0.0
2019-05-28 08:00:00+05:00,154.1,32.49,14.6,0.34,1.17,16.2,0.0,0.0
2019-05-28 09:00:00+05:00,190.9,34.14,14.88,0.31,1.49,355.93,0.0,0.0
2019-05-28 10:00:00+05:00,107.7,39.15,12.37,0.2,2.17,325.67,0.0,0.0
2019-05-28 11:00:00+05:00,103.5,39.88,12.17,0.19,2.86,320.17,0.0,0.0
2019-05-28 12:00:00+05:00,68.3,40.24,12.35,0.19,3.3,315.53,0.0,0.0
2019-05-28 13:00:00+05:00,51.8,42.02,11.37,0.16,3.7,310.34,0.01,0.0
2019-05-28 14:00:00+05:00,46.6,42.25,11.69,0.16,3.88,305.86,0.01,0.0
2019-05-28 15:00:00+05:00,36.8,42.04,12.03,0.17,3.25,305.45,0.16,0.0
2019-05-28 16:00:00+05:00,36.4,41.82,12.23,0.17,4.33,295.29,0.94,0.0
2019-05-28 17:00:00+05:00,50.0,41.62,11.6,0.17,4.36,287.5,0.88,0.0
2019-05-28 18:00:00+05:00,53.0,41.27,4.8,0.11,3.13,293.51,0.88,0.0
2019-05-28 19:00:00+05:00,58.6,36.65,12.19,0.23,2.59,299.44,0.92,0.0
2019-05-28 20:00:00+05:00,80.6,33.75,16.15,0.35,2.59,307.63,0.67,0.0
2019-05-28 21:00:00+05:00,78.0,33.18,16.22,0.36,2.75,299.36,0.64,0.0
2019-05-28 22:00:00+05:00,82.7,32.74,16.36,0.37,2.6,283.37,0.25,0.0
2019-05-28 23:00:00+05:00,105.6,33.16,16.26,0.36,2.64,275.54,0.01,0.0
2019-05-29 00:00:00+05:00,124.2,32.39,15.97,0.37,2.7,276.55,0.0,0.0
2019-05-29 01:00:00+05:00,106.8,29.9,16.99,0.46,2.64,289.51,0.0,0.0
2019-05-29 02:00:00+05:00,104.2,29.55,16.84,0.46,2.29,312.13,0.03,0.0
2019-05-29 03:00:00+05:00,112.7,27.3,15.49,0.48,1.94,338.16,0.0,0.0
2019-05-29 04:00:00+05:00,164.5,27.06,15.36,0.49,2.06,359.94,0.0,0.0
2019-05-29 05:00:00+05:00,206.9,27.21,15.08,0.47,1.86,13.39,0.0,0.0
2019-05-29 06:00:00+05:00,150.0,27.69,15.24,0.47,1.91,30.74,0.0,0.0
2019-05-29 07:00:00+05:00,217.6,31.8,14.89,0.36,1.66,36.94,0.0,0.0
2019-05-29 08:00:00+05:00,461.9,33.8,15.45,0.33,1.56,34.76,0.0,0.0
2019-05-29 09:00:00+05:00,282.8,36.03,15.95,0.3,1.67,10.65,0.0,0.0
2019-05-29 10:00:00+05:00,216.2,40.47,14.08,0.21,2.19,323.02,0.0,0.0
2019-05-29 11:00:00+05:00,137.8,41.47,14.57,0.21,3.02,300.23,0.04,0.0
2019-05-29 12:00:00+05:00,50.7,41.77,14.64,0.2,3.49,290.55,0.14,0.0
2019-05-29 13:00:00+05:00,42.3,43.19,12.68,0.17,3.72,286.67,0.12,0.0
2019-05-29 14:00:00+05:00,50.4,43.16,12.58,0.17,3.86,285.73,0.15,0.0
2019-05-29 15:00:00+05:00,60.7,43.35,13.61,0.18,2.99,307.27,0.47,0.0
2019-05-29 16:00:00+05:00,55.1,42.41,13.3,0.18,4.81,291.29,0.99,0.91
2019-05-29 17:00:00+05:00,58.9,41.52,12.86,0.18,5.37,284.15,0.99,0.2
2019-05-29 18:00:00+05:00,57.2,41.21,13.51,0.2,3.73,277.81,0.98,0.0
2019-05-29 19:00:00+05:00,63.5,36.58,16.13,0.3,2.98,286.25,0.94,0.0
2019-05-29 20:00:00+05:00,78.8,36.25,17.39,0.33,2.72,288.92,0.97,0.0
2019-05-29 21:00:00+05:00,101.7,35.96,16.1,0.31,2.27,284.68,0.7,0.0
2019-05-29 22:00:00+05:00,121.9,34.37,17.26,0.36,2.69,274.65,0.46,0.0
2019-05-29 23:00:00+05:00,91.8,34.36,16.63,0.35,1.9,298.81,0.38,0.0
2019-05-30 00:00:00+05:00,89.0,34.22,16.21,0.34,2.26,357.76,0.11,0.0
2019-05-30 01:00:00+05:00,91.4,30.71,17.1,0.44,2.66,19.75,0.12,0.0
2019-05-30 02:00:00+05:00,106.6,29.93,16.49,0.44,2.5,25.79,0.16,0.0
2019-05-30 03:00:00+05:00,157.9,27.29,13.99,0.44,2.06,2.76,0.0,0.0
2019-05-30 04:00:00+05:00,214.1,27.27,14.24,0.45,2.08,358.17,0.08,0.0
2019-05-30 05:00:00+05:00,231.5,28.03,14.01,0.42,2.17,358.95,0.05,0.0
2019-05-30 06:00:00+05:00,565.9,28.46,15.14,0.44,1.92,3.62,0.0,0.0
2019-05-30 07:00:00+05:00,598.8,31.65,15.33,0.37,2.27,13.89,0.0,0.0
2019-05-30 08:00:00+05:00,678.1,35.03,13.22,0.27,2.05,16.52,0.0,0.0
2019-05-30 09:00:00+05:00,530.2,37.48,14.82,0.26,2.33,18.6,0.0,0.0
2019-05-30 10:00:00+05:00,195.9,40.68,12.96,0.19,2.35,19.33,0.0,0.0
2019-05-30 11:00:00+05:00,138.4,41.63,12.91,0.18,1.93,9.94,0.0,0.0
2019-05-30 12:00:00+05:00,100.0,42.15,13.32,0.18,1.44,338.27,0.0,0.0
2019-05-30 13:00:00+05:00,100.0,44.17,11.33,0.15,1.83,304.8,0.02,0.0
2019-05-30 14:00:00+05:00,278.9,44.37,11.54,0.15,2.6,292.14,0.09,0.0
2019-05-30 15:00:00+05:00,144.0,44.07,13.37,0.17,3.11,303.37,0.88,0.0
2019-05-30 16:00:00+05:00,114.6,44.05,12.76,0.16,2.9,311.13,0.56,0.15
2019-05-30 17:00:00+05:00,100.7,44.03,10.98,0.14,3.1,316.2,0.69,0.11
2019-05-30 18:00:00+05:00,89.6,43.49,5.59,0.1,2.47,309.04,0.71,0.0
2019-05-30 19:00:00+05:00,78.0,39.69,13.58,0.21,2.73,306.49,0.58,0.0
2019-05-30 20:00:00+05:00,80.0,37.09,14.53,0.26,2.68,307.5,0.37,0.0
2019-05-30 21:00:00+05:00,81.8,35.26,14.17,0.28,2.67,303.15,0.0,0.0
2019-05-30 22:00:00+05:00,106.1,32.36,15.01,0.35,2.95,301.19,0.01,0.0
2019-05-30 23:00:00+05:00,111.3,32.37,14.66,0.34,3.1,304.64,0.0,0.0
2019-05-31 00:00:00+05:00,123.6,32.28,14.54,0.34,3.22,309.17,0.0,0.0
2019-05-31 01:00:00+05:00,143.0,31.56,15.22,0.37,2.98,317.85,0.0,0.0
2019-05-31 02:00:00+05:00,174.9,31.09,14.97,0.38,2.73,328.23,0.0,0.0
2019-05-31 03:00:00+05:00,202.0,29.22,14.05,0.39,2.14,310.0,0.0,0.0
2019-05-31 04:00:00+05:00,231.1,28.74,14.23,0.41,1.9,326.64,0.0,0.0
2019-05-31 05:00:00+05:00,206.0,28.04,13.37,0.4,1.47,332.67,0.0,0.0
2019-05-31 06:00:00+05:00,180.5,28.87,14.92,0.43,0.56,255.66,0.0,0.0
2019-05-31 07:00:00+05:00,194.4,32.94,14.59,0.33,0.82,199.96,0.0,0.0
2019-05-31 08:00:00+05:00,120.9,34.2,16.09,0.34,0.54,224.22,0.0,0.0
2019-05-31 09:00:00+05:00,89.9,35.47,16.3,0.32,0.42,289.0,0.0,0.0
2019-05-31 10:00:00+05:00,88.5,41.03,13.48,0.2,0.69,326.6,0.0,0.0
2019-05-31 11:00:00+05:00,75.5,42.19,13.34,0.18,0.92,322.7,0.05,0.0
2019-05-31 12:00:00+05:00,63.0,43.0,13.99,0.18,0.82,289.02,0.07,0.0
2019-05-31 13:00:00+05:00,64.0,44.92,11.03,0.14,1.57,265.28,0.08,0.0
2019-05-31 14:00:00+05:00,66.5,45.23,11.11,0.14,2.19,268.01,0.07,0.0
2019-05-31 15:00:00+05:00,54.2,44.96,11.43,0.14,2.02,287.56,0.74,0.0
2019-05-31 16:00:00+05:00,62.8,45.03,9.94,0.13,2.53,279.42,0.9,0.0
2019-05-31 17:00:00+05:00,61.0,44.18,7.88,0.12,2.79,286.52,0.0,0.04
2019-05-31 18:00:00+05:00,62.9,44.41,0.54,0.07,2.73,300.44,0.02,0.0
2019-05-31 19:00:00+05:00,62.1,40.03,10.02,0.17,2.91,316.66,0.0,0.0
2019-05-31 20:00:00+05:00,67.5,38.04,12.38,0.22,2.65,325.69,0.0,0.0
2019-05-31 21:00:00+05:00,84.0,37.06,12.24,0.23,2.57,332.71,0.0,0.0
2019-05-31 22:00:00+05:00,85.5,34.42,14.45,0.3,2.58,346.45,0.0,0.0
2019-05-31 23:00:00+05:00,102.8,34.21,14.17,0.3,2.63,0.87,0.0,0.0
2019-06-01 00:00:00+05:00,127.1,33.88,13.91,0.3,2.55,11.73,0.0,0.0
2019-06-01 01:00:00+05:00,162.0,32.64,14.72,0.34,2.54,24.76,0.0,0.0
2019-06-01 02:00:00+05:00,219.7,32.24,14.15,0.33,2.53,40.74,0.0,0.0
2019-06-01 03:00:00+05:00,242.3,29.09,14.66,0.41,2.63,42.81,0.0,0.0
2019-06-01 04:00:00+05:00,277.5,28.17,14.21,0.42,2.52,55.75,0.0,0.0
2019-06-01 05:00:00+05:00,178.9,27.87,14.99,0.45,2.54,62.81,0.0,0.0
2019-06-01 06:00:00+05:00,177.2,29.05,15.99,0.45,2.76,66.95,0.0,0.0
2019-06-01 07:00:00+05:00,186.7,32.87,15.93,0.36,2.2,72.17,0.0,0.0
2019-06-01 08:00:00+05:00,238.5,34.15,16.82,0.36,1.59,80.15,0.0,0.0
2019-06-01 09:00:00+05:00,251.8,35.68,17.43,0.34,1.53,92.77,0.01,0.0
2019-06-01 10:00:00+05:00,228.3,41.38,14.37,0.21,1.67,100.79,0.0,0.0
2019-06-01 11:00:00+05:00,307.7,42.63,13.04,0.18,1.66,99.16,0.02,0.0
2019-06-01 12:00:00+05:00,240.5,42.97,13.35,0.18,1.52,84.25,0.04,0.0
2019-06-01 13:00:00+05:00,130.0,45.03,12.65,0.15,0.62,122.2,0.33,0.0
2019-06-01 14:00:00+05:00,80.7,45.33,13.2,0.16,0.92,223.51,0.66,0.0
2019-06-01 15:00:00+05:00,74.5,45.41,11.95,0.14,0.73,215.42,0.7,0.0
2019-06-01 16:00:00+05:00,65.1,45.23,11.38,0.14,2.24,278.23,0.6,0.0
2019-06-01 17:00:00+05:00,69.1,44.78,10.28,0.13,3.91,306.91,0.57,0.0
2019-06-01 18:00:00+05:00,75.5,44.19,4.81,0.09,4.57,330.23,0.15,0.01
2019-06-01 19:00:00+05:00,91.4,40.05,11.71,0.19,4.02,345.68,0.0,0.0
2019-06-01 20:00:00+05:00,76.9,38.2,13.51,0.23,3.29,0.36,0.0,0.0
2019-06-01 21:00:00+05:00,103.8,36.65,13.4,0.25,2.82,9.23,0.0,0.0
2019-06-01 22:00:00+05:00,127.4,34.13,14.26,0.3,2.65,14.32,0.0,0.0
2019-06-01 23:00:00+05:00,91.0,33.96,13.87,0.3,2.33,20.59,0.0,0.0
2019-06-02 00:00:00+05:00,93.0,33.27,13.17,0.3,2.59,29.12,0.0,0.0
2019-06-02 01:00:00+05:00,120.0,31.82,14.69,0.35,2.57,35.42,0.0,0.0
2019-06-02 02:00:00+05:00,122.8,31.37,14.5,0.36,2.39,40.83,0.0,0.0
2019-06-02 03:00:00+05:00,116.9,28.67,15.65,0.45,2.04,72.22,0.0,0.0
2019-06-02 04:00:00+05:00,141.7,28.37,16.03,0.47,2.16,89.15,0.0,0.0
2019-06-02 05:00:00+05:00,204.4,28.45,16.56,0.48,2.12,95.03,0.0,0.0
2019-06-02 06:00:00+05:00,93.3,29.28,16.13,0.45,2.56,89.02,0.0,0.0
2019-06-02 07:00:00+05:00,78.1,32.93,16.04,0.36,2.78,87.39,0.0,0.0
2019-06-02 08:00:00+05:00,81.0,34.57,16.58,0.34,3.23,96.05,0.0,0.0
2019-06-02 09:00:00+05:00,81.4,35.63,16.04,0.31,2.99,105.94,0.0,0.0
2019-06-02 10:00:00+05:00,93.0,40.3,14.1,0.21,2.54,110.72,0.0,0.0
2019-06-02 11:00:00+05:00,94.9,41.51,14.5,0.21,1.97,113.96,0.0,0.0
2019-06-02 12:00:00+05:00,92.6,41.96,15.07,0.21,1.2,118.23,0.16,0.0
2019-06-02 13:00:00+05:00,80.6,44.03,13.51,0.17,0.86,113.99,0.13,0.0
2019-06-02 14:00:00+05:00,71.1,44.42,13.8,0.17,0.43,138.07,0.11,0.0
2019-06-02 15:00:00+05:00,73.9,44.68,13.68,0.17,1.04,326.03,0.4,0.0
2019-06-02 16:00:00+05:00,75.4,45.09,13.75,0.16,1.44,305.43,0.49,0.0
2019-06-02 17:00:00+05:00,86.7,45.25,11.71,0.14,1.89,308.17,0.38,0.0
2019-06-02 18:00:00+05:00,56.5,44.6,8.39,0.12,1.68,331.74,0.07,0.0
2019-06-02 19:00:00+05:00,47.4,39.18,15.88,0.25,2.04,342.64,0.0,0.0
2019-06-02 20:00:00+05:00,60.9,37.77,16.31,0.28,2.24,0.77,0.0,0.0
2019-06-02 21:00:00+05:00,84.3,37.32,15.71,0.28,2.01,22.81,0.0,0.0
2019-06-02 22:00:00+05:00,95.0,34.93,17.98,0.37,1.58,41.93,0.0,0.0
2019-06-02 23:00:00+05:00,96.3,33.92,17.67,0.38,1.35,71.68,0.0,0.0
2019-06-03 00:00:00+05:00,107.4,33.28,17.63,0.39,1.57,96.96,0.0,0.0
2019-06-03 01:00:00+05:00,124.3,32.54,17.87,0.42,1.36,108.96,0.0,0.0
2019-06-03 02:00:00+05:00,136.9,31.41,17.14,0.42,1.35,112.4,0.0,0.0
2019-06-03 03:00:00+05:00,155.7,30.26,16.87,0.45,1.53,75.05,0.0,0.0
2019-06-03 04:00:00+05:00,689.6,29.67,17.05,0.47,1.76,76.44,0.0,0.0
2019-06-03 05:00:00+05:00,474.1,29.72,16.63,0.45,1.89,82.67,0.0,0.0
2019-06-03 06:00:00+05:00,330.8,30.45,16.35,0.43,2.67,88.87,0.0,0.0
2019-06-03 07:00:00+05:00,183.6,33.61,16.28,0.36,2.62,97.85,0.0,0.0
2019-06-03 08:00:00+05:00,144.1,34.68,16.48,0.34,3.42,105.2,0.0,0.0
2019-06-03 09:00:00+05:00,118.3,35.33,17.26,0.34,4.21,114.97,0.0,0.0
2019-06-03 10:00:00+05:00,99.9,39.49,16.84,0.27,4.34,126.62,0.0,0.0
2019-06-03 11:00:00+05:00,99.3,40.61,17.85,0.27,4.31,137.22,0.02,0.0
2019-06-03 12:00:00+05:00,107.9,41.36,18.11,0.26,4.19,152.55,0.13,0.0
2019-06-03 13:00:00+05:00,110.2,43.45,16.58,0.21,3.85,165.29,0.08,0.0
2019-06-03 14:00:00+05:00,88.4,43.61,15.72,0.2,3.16,187.11,0.27,0.0
2019-06-03 15:00:00+05:00,72.2,45.33,14.88,0.17,3.07,194.69,0.5,0.0
2019-06-03 16:00:00+05:00,80.2,45.44,14.16,0.16,3.58,215.04,0.03,0.0
2019-06-03 17:00:00+05:00,88.4,43.68,15.17,0.19,3.03,232.98,0.07,0.0
2019-06-03 18:00:00+05:00,72.9,42.08,12.69,0.18,0.83,260.73,0.0,0.0
2019-06-03 19:00:00+05:00,73.8,39.01,16.86,0.27,1.78,34.62,0.0,0.0
2019-06-03 20:00:00+05:00,71.1,36.45,19.65,0.37,3.43,75.1,0.0,0.0
2019-06-03 21:00:00+05:00,78.0,35.73,20.21,0.4,4.44,98.89,0.0,0.0
2019-06-03 22:00:00+05:00,114.9,32.61,19.38,0.46,4.74,113.19,0.0,0.0
